Group/Artist,Song,Score,Comment,YT Link,Due November 1st
T-ara,Because I Know,7,,https://www.youtube.com/watch?v=7IzezDJrHoU,
T-ara,Do You Know Me,4,,https://www.youtube.com/watch?v=u6oprfVLxAQ,
T-ara,Hide & Seek,7,they got some nice voices ,https://www.youtube.com/watch?v=nyGV8RLey-8,
T-ara,Sugar Free,11,BANGER BANGER BANGER its so perfect! ,https://www.youtube.com/watch?v=q_eo5j5sib8,
T-ara,So Crazy,8,,https://www.youtube.com/watch?v=maSoUetHock,
T-ara,Tiamo,5,,https://www.youtube.com/watch?v=xJHUKzz1vss,
T-ara,What's My Name?,5,,https://www.youtube.com/watch?v=_eQTd-fsKsQ,
T-ara,Overall,7,Banger t-ara best T-ara,,
Wonder Girls,Irony,3,,https://www.youtube.com/watch?v=uxFxoLxmcdg,
Wonder Girls,Tell Me,6,,https://www.youtube.com/watch?v=BlHv3BbBv6A,
Wonder Girls,So Hot,7,,https://www.youtube.com/watch?v=lmun5PO54VE,
Wonder Girls,Nobody,8,,https://www.youtube.com/watch?v=QZBn1e9pr2Q,
Wonder Girls,2 Different Tears,1,,https://www.youtube.com/watch?v=Rxh3_sr5UAE,
Wonder Girls,Be My Baby,7,,https://www.youtube.com/watch?v=3fy4cqWMhyI,
Wonder Girls,The DJ Is Mine,6,,https://www.youtube.com/watch?v=doXnuStEf2I,
Wonder Girls,Like This,4,,https://www.youtube.com/watch?v=7EZTUYwjWBs,
Wonder Girls,Like Money,3,,https://www.youtube.com/watch?v=quE6Cq4Q2bs,
Wonder Girls,I Feel You,10,,https://www.youtube.com/watch?v=V9QXQz6uE0M,
Wonder Girls,Why So Lonely,10,,https://www.youtube.com/watch?v=PYGODWJgR-c,
Wonder Girls,Overall,6,the american push really was not good for them ,,
