Group/Artist,Song,Score,Comment,YT Link,Due March 17th
IZ,Final Kiss,8,"This is nice, guitar has some nice flair to it. ",https://www.youtube.com/watch?v=m8p-jCqW3XY&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
IZ,Memento,9,I'll take this kind of IZ over cute IZ. Guitar riff is really nice. ,https://www.youtube.com/watch?v=Kox6JkTzJrM&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
IZ,The Day,4,Chorus vocals sound really strained and don't work. Soft IZ not for me. ,https://www.youtube.com/watch?v=FOEKkU3zEm8&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
IZ,Overall,7,"It's a shame this group is so polarizing with their releasing, sometimes I love it, other times I really don't like it. I'll happily grab the songs I love though.",,
Marmello,Puppet,8,"Not sold on the ""Puppet Puppet Pow"" hook, but the rest is nice. Instrumentals are a stand out in this one, really like the guitar solo. ",https://www.youtube.com/watch?v=cJjIQP56CxU&ab_channel=GENIEMUSIC,
Marmello,Can't Stop,9,Guitar does a great job here. Sounds very Jrock inspired. ,https://www.youtube.com/watch?v=a-iPoUI47xs&ab_channel=GENIEMUSIC,
Marmello,Wake Me Up,7,"Intro was promising, but vocally didn't quite deliver for me. She's good in most of the song, but the chorus falls flat. ",https://www.youtube.com/watch?v=Zy9wzvcofqM&ab_channel=GENIEMUSIC,
Marmello,Moonlight,9,This is just the same song as Moment of Glory but with slightly different mixing. ,https://www.youtube.com/watch?v=l4uuJV2DnjI&ab_channel=GENIEMUSIC,
Marmello,The Moment of Glory,9,"Wait I love this? What a good sport song. Very repetitive chorus, but this is fun and has a lot of energy. Guitar solo on the bridge is very nice too. ",https://www.youtube.com/watch?v=-LQtb_56j90&ab_channel=GENIEMUSIC,
Marmello,Overall,8,"Pretty solid in the end. I wasn't sold immediately, but they are quite good. I'm assuming they have disbanded now, which is a shame. But hopefully we get more girl bands in the future (like Rolling Quartz).",,
The Rose,Sorry,9,Solid debut. His vocals are the unique stand outs for this group. ,https://www.youtube.com/watch?v=uXcpLWB2eBA&ab_channel=StoneMusicEntertainment,
The Rose,Like We Used To,7,Nothing that really sticks for me. Won't go back to it in a hurry,https://www.youtube.com/watch?v=K1FQeUXn_sc&ab_channel=StoneMusicEntertainment,
The Rose,Baby,8,"I like the guitar riff build from the bridge to the end, and Woosung's vocals are always a stand out ",https://www.youtube.com/watch?v=OmetCO_ZFnI&ab_channel=StoneMusicEntertainment,
The Rose,She's in the Rain,10,"Their best song by a long shot, very emotional - perfect for their voices. ",https://www.youtube.com/watch?v=KjbftHj6XYU&ab_channel=LoveKpopSubs18,
The Rose,Red,10,"Great summer song, love how he delivers the prechorus. Really like the guitar focused chorus here. Sad this was their last song. ",https://www.youtube.com/watch?v=6pF3HCuFHvY&ab_channel=StoneMusicEntertainment,
The Rose,Overall,9,"I love the vocals in this group, very unique and really satisfying to listen to. Sad to see them go. ",,
Rockit Girl,We Are Korea,1,They suck. ,https://www.youtube.com/watch?v=oAToMHYUeEg&ab_channel=GENIEMUSIC,
Rockit Girl,Little Cat,1,Garbage.,https://www.youtube.com/watch?v=SMJ3ouUsKlU&ab_channel=GENIEMUSIC,
Rockit Girl,My Sea,0,Begone thot!,https://www.youtube.com/watch?v=pkSmtr_mXGA&ab_channel=GENIEMUSIC,
Rockit Girl,Dream Come True,1,Disband already.,https://www.youtube.com/watch?v=FHS7dETx5Vs&ab_channel=GENIEMUSIC,
Rockit Girl,Overall,1,Worst group I've rated. If they haven't already I hope they disband and never sing again. ,,
The East Light,Holla,3,Those wigs were certainly a choice. Sadly they can't sing very well so this song is mostly cringe. Got to give them props for their instrumental work though,https://www.youtube.com/watch?v=x3L6xB9i7JU&ab_channel=TheEastLight.,
The East Light,I Am What I Am,6,"Not bad, not hugely sold on the vocals, but the instrumentals are good (especially considering they are pretty young apparently?)",https://www.youtube.com/watch?v=stccn8J7tqY&ab_channel=TheEastLight.,
The East Light,You're My Love (Tropical Mix),2,That instrumental is terrible. The vocals are also abysmal. Just shit really. ,https://www.youtube.com/watch?v=CiGrgfoUlqM&ab_channel=TheEastLight.,
The East Light,Love Is...,1,Fucking awful. Should be disappointed in themselves. ,https://www.youtube.com/watch?v=QglLFncNbGs&ab_channel=TheEastLight.,
The East Light,I Got You,3,"Oh dear, they sound awful here. ",https://www.youtube.com/watch?v=1oxOnWws0UQ&ab_channel=TheEastLight.,
The East Light,Real Man,3,"I don't know who listened to a screamer firework and thought ""This. This is the soundbite I want."" But fuck them. Vocals also lame. ",https://www.youtube.com/watch?v=SiQeBQLBu3U&ab_channel=TheEastLight.,
The East Light,Are You Okay,5,":hwasa_oof: . Some nice parts here, but overall pretty weak. Also really unfortunate title. ",https://www.youtube.com/watch?v=aPmEuMjDdb0&ab_channel=TheEastLight.TheEastLight.Verified,
The East Light,Love Flutters,3,"They can't sing, and the instrumentals here are pretty bad too. ",https://www.youtube.com/watch?v=Ol6fnqL0kMk&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
The East Light,Overall,3,"What happened to this group is disgusting, I haven't read into the whole situation but I really hope the people involved have faced consequences for their actions. Regarding their music, they weren't great. ",,
LED Apple,Dash,1,Oh god this sounds awful. What happened to the production? ,https://www.youtube.com/watch?v=WPB2B1R7lCM&ab_channel=Superstarz389FOSHO,
LED Apple,How Dare You,7,"2nd gen boy group given instruments. OK song, but not really a band vibe?",https://www.youtube.com/watch?v=liVfzHufJmE&ab_channel=EVILMINIC00KIES,
LED Apple,Someone Met By Chance,9,2nd gen boy group given instruments. This is actually a banger. ,https://www.youtube.com/watch?v=fmvbfT9HHbc&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
LED Apple,Birthday Killer,8,1st song I've heard from them when they sound like an actual band and not just a boy group with an instrument gimmick. I like this. ,https://www.youtube.com/watch?v=bBiiULw1UrM&ab_channel=yumaiysub,
LED Apple,Time Is Up,6,"2nd gen boy group given instruments. Not that bad though, just not something that really pulls me in. I also don't like rapping in bands. ",https://www.youtube.com/watch?v=7MfvdFY253Q&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
LED Apple,Sadness,5,2nd gen boy group given instruments. This is just a meh boy group song. ,https://www.youtube.com/watch?v=EQxXT96slDo&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
