Month,Group/Artist,Song,Score,Comment,Youtube Link,Rules:,https://docs.google.com/document/d/1fCOUayB2IzAe-MgeLFxAJ3PdbElL-ArnGOlHI-gQH2I/edit?usp=sharing,Song Count:,201
Seven ,"pH-1, Kid Milli, Loopy ",Good Day (prod. Code Kunst) ft Paloalto ,8,,https://www.youtube.com/watch?v=K3eCEvWKT2Q,,,,
Seven ,pH-1 ,Hate You (prod. Code Kunst) ft Woo Wonjae ,7,,https://www.youtube.com/watch?v=LybgPLBic4k,,,,
Seven ,OLNL,Breaking Bad ft Giriboy ,8,,https://www.youtube.com/watch?v=hLJxuaYLPbI,,,,
Seven ,Coogie ,Damn Fate/ Watch me Ballin  ft Sik-K,6,,https://www.youtube.com/watch?v=ziWGjHE6zFs,,,,
Seven ,Keem Hyoeun,"XXL ft Deepflow, Dok2 ",7,,https://www.youtube.com/watch?v=EWq0afYc6XY,,,,
Seven ,Nafla ,Bite ,9,,https://www.youtube.com/watch?v=nOyk1_wV6e4,,,,
Seven ,Chaboom ,"When The Time Comes ft Sunwoo Junga, Nucksal",10,,https://www.youtube.com/watch?v=U7jGA5GDM1I,,,,
Seven ,Loopy ,Save (prod. Code Kunst) ft Paloalto,6,,https://www.youtube.com/watch?v=eP2VKfmmkcM,,,,
Seven ,Superbee,Hundred Million/ uck (prod. Changmo) ft Changmo ,7,Fuck Superbee,https://www.youtube.com/watch?v=5kghcQ7OCRo,,,,
Seven ,ODEE ,Airplane Mode ft Swings ,8,,https://www.youtube.com/watch?v=6SCG06QJZ2Y,,,,
Seven ,Kid Milli ,Changes (prod. Code Kunst) ft Gray ,8,,https://www.youtube.com/watch?v=pkxkazf6_eM,,,,
Seven ,EK ,GOD GOD GOD ,7,,https://www.youtube.com/watch?v=yIrEBuF556g,,,,
Seven ,Top 6 ,119 remix (prod. Gray) ,7,,https://www.youtube.com/watch?v=qE51wrAg_VU,,,,
Seven ,Kid Milli ,MOMM (prod. Code Kunst) ft Justhis ,6,,https://www.youtube.com/watch?v=3Ox3O84ArQ8,,,,
Seven ,OLNL,I (prod. Giriboy) ft Samuel Seo ,4,,https://www.youtube.com/watch?v=L7H9AWsyUZc,,,,
Seven ,Superbee,SUPERBEEwhY (prod. Bewhy) ft Bewhy ,6,Fuck Superbee,https://www.youtube.com/watch?v=7zhc1f5zXEs,,,,
Seven ,Loopy ,NoNo (prod. Code Kunst) ft Simon D ,7,,https://www.youtube.com/watch?v=fU5ohmehcfk,,,,
Seven ,pH-1,Orange (prod. Code Kunst) ft Jay Park ,6,,https://www.youtube.com/watch?v=dx7dVgUO1gM,,,,
Seven ,Nafla,"SUNBBANG (Prod. Giriboy) ft Gaeko, Giriboy ",8,,https://www.youtube.com/watch?v=blCzhOIuQFc,,,,
Seven ,Kid Milli ,Boss Thang (prod. Code Kunst) ft Young B ,4,,https://www.youtube.com/watch?v=pqXLEJEzw9A,,,,
Seven ,Loopy ,Robot Love (prod. Code Kunst) ,1,,https://www.youtube.com/watch?v=15ut9SgsNA4,,,,
Seven ,Nafla ,Buckle (prod. Giriboy) ft Zico  ,7,,https://www.youtube.com/watch?v=55Fxy9-ZOZA,,,,
Seven ,Kid Milli ,"Goals (prod. Code Kunst) ft Paloalto, Hoody ",6,,https://www.youtube.com/watch?v=hvC6Ki4t_Vc,,,,
Seven ,Loopy ,V (prod. Giriboy) ft Loco ,4,,https://www.youtube.com/watch?v=UZHhqkhRPZU,,,,
Seven ,Nafla ,"Pickup man ft Swings, Giriboy ",6,,https://www.youtube.com/watch?v=L8-b05cY_ec,,,,
Seven ,"EK, ODEE, Zene The Zilla, Coogie ",Guys/ Jasiks (prod. The Quiett) ,8,,https://www.youtube.com/watch?v=HgvHmYdPVBM,,,,
Seven ,N/A,,,,,,,,
Eight ,"Swings, kid Milli, Mad Clown ","Not Enough (prod. BOYCOLD) ft Yumdda, pH-1 ",5,,https://www.youtube.com/watch?v=uITuGZKljgQ,,,,
Eight ,"Verbal Jint, Giriboy, Bewhy",Yoran (Prod. Millic) ,6,,https://www.youtube.com/watch?v=-PzEwFQcJBc,,,,
Eight ,"Woodie Gochild, CHOILB, Big Naughty, Young B, Chillin Homie ",BADA (prod. Giriboy) ft Giriboy ,7,,https://www.youtube.com/watch?v=ruPYt0jMHw0,,,,
Eight ,"YunB, Kim Seungmin, Yunhway, Donutman ","Scoop (prod. BOYCOLD) ft Kid Milli, Swings ",7,,https://www.youtube.com/watch?v=koSY8y-0Sbw,,,,
Eight ,"Punchnello, Jjangyou, Zene The Zilla, Mckdaddy ",BAMN (prod. millic) ,3,,https://www.youtube.com/watch?v=RhfSECbdVAc,,,,
Eight ,"Lil Tachi, Takuwa, Bryn, EK ",00 (prod. BOYCOLD) ,3,Bryn gets most of my points,https://www.youtube.com/watch?v=pWIFKAIFNvQ,,,,
Eight ,"YunB, Young B ",Truman Show ,6,,https://www.youtube.com/watch?v=ga2WH8pghQU,,,,
Eight ,"Woodie Gochild, Takuwa",PUNG,4,,https://www.youtube.com/watch?v=TKK-0nL4YvI,,,,
Eight ,"Zene The Zilla, EK ",24 / 7,5,,https://www.youtube.com/watch?v=3HyzAw4WSyk,,,,
Eight ,"CHOLB, Kim Seungmin ",Sangsu,5,,https://www.youtube.com/watch?v=A3d8Iy24RFM,,,,
Eight ,"Punchnello, Donutman ",Comfortable / Chill Out ,5,,https://www.youtube.com/watch?v=enoYRVPAOtY,,,,
Eight ,"Lil Tachi, Big Naughty ",CCTV ft Leellamarz ,6,,https://www.youtube.com/watch?v=rzUpCioUL88,,,,
